listing_id,price,rating,listing_added,name,host_id,host_name,room_type,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_stays,5_stars,latitude,longitude,borough,neighbourhood,is_rated
39267,99.0,3.844195775359791,2018-12-03,CENTRAL PARK LOFT all for YOU,168417,Marie,Entire place,234,2019-06-08,2.6,164,280.8,0.7687067922764848,40.77456,-73.95323,Manhattan,Upper East Side,1
39282,69.0,3.1419164004583022,2018-11-22,Indie-Chic Share In Williamsburg,168525,Gus,Private room,202,2019-05-28,1.86,53,242.4,0.6868945527244062,40.71088,-73.95055,Brooklyn,Williamsburg,1
41348,250.0,4.387169323161423,2018-12-31,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Entire place,80,2019-07-06,2.17,0,96.0,0.6483542742875179,40.66858,-73.99083,Brooklyn,Gowanus,1
44096,40.0,4.633761905723809,2018-12-29,Room with a View,190409,Waundell,Private room,219,2019-07-04,2.04,353,262.8,0.8821329768137283,40.83232,-73.93184000000002,Bronx,Highbridge,1
44161,150.0,4.781040798315485,2016-01-01,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Entire place,193,2016-07-06,1.78,177,231.6,0.9242208090460514,40.71045,-73.9677,Brooklyn,Williamsburg,1
44212,125.0,3.1952032711668865,2018-12-18,West Inn 2 - East Village,72062,Bruce,Private room,84,2019-06-23,0.78,310,100.8,0.7400432390217935,40.72518,-73.98034,Manhattan,East Village,1
44288,170.0,4.710234640252646,2018-11-26,Your own Lovely West Village Studio,193637,Sara,Entire place,86,2019-06-01,0.8,246,103.2,0.9317657027646796,40.73756,-74.00405,Manhattan,West Village,1
46723,90.0,4.602396326064836,2018-11-13,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Private room,126,2019-05-19,1.17,343,151.2,0.9294718345711094,40.67992,-73.9475,Brooklyn,Bedford-Stuyvesant,1
46911,120.0,4.4877416396806025,2018-12-19,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Private room,51,2019-06-24,0.48,250,61.2,0.655792065199995,40.67868,-73.97306999999998,Brooklyn,Prospect Heights,1
47199,75.0,3.714769477348349,2018-12-19,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Private room,199,2019-06-24,1.85,326,238.8,0.7377506498088475,40.76834,-73.95334,Manhattan,Upper East Side,1
51572,123.0,3.452124065198884,2018-12-13,Prime Location in Manhattan,237329,Lee,Private room,375,2019-06-18,3.52,328,450.0,0.7523739436693043,40.74859,-73.99671,Manhattan,Chelsea,1
51850,55.0,3.4596678027338585,2018-11-14,( F) Excellent/Pvt Rm,27848,Jullett,Private room,52,2019-05-20,0.49,365,62.4,0.6747824199483918,40.67252,-73.76597,Queens,Jamaica,1
53469,98.0,4.551888346783387,2014-11-03,cozy studio with parking spot,204539,Mark,Entire place,33,2015-05-09,0.31,240,39.6,0.8890405591039415,40.71722000000001,-73.87856,Queens,Middle Village,1
54453,105.0,3.3244690227208,2013-07-04,MIDTOWN WEST - Large alcove studio,255583,Anka,Shared room,10,2014-01-07,0.09,363,12.0,0.7245443728578248,40.76548,-73.98474,Manhattan,Hell's Kitchen,1
54626,45.0,4.208229846325271,2018-12-25,Cozy bedroom by Yankee Stadium,190409,Waundell,Private room,138,2019-06-30,1.45,323,165.6,0.7664717093613256,40.83075,-73.93058,Bronx,Highbridge,1
55737,199.0,3.8908097412893095,2018-11-13,Sleek & Comfortable Soho Apt,263414,Pete,Entire place,129,2019-05-19,1.22,286,154.79999999999995,0.7083497687713779,40.72861,-74.0049,Manhattan,West Village,1
57297,159.0,4.526295505128666,2018-12-19,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Entire place,222,2019-06-24,2.12,279,266.4,0.8268853305544418,40.68926,-73.99386,Brooklyn,Cobble Hill,1
57618,250.0,4.416985749971115,2018-12-04,"Great new apt, close to everything",274557,Ana,Entire place,94,2019-06-09,0.96,3,112.8,0.6870411934725159,40.7672,-73.98508000000002,Manhattan,Hell's Kitchen,1
58059,60.0,4.74868227562241,2018-12-28,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Private room,458,2019-07-03,4.58,258,549.6,0.8168378240350501,40.8251,-73.94287,Manhattan,Harlem,1
59709,250.0,4.94801904902859,2018-12-26,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Entire place,18,2019-07-01,0.18,265,21.6,0.9213109001817312,40.71756,-73.99503,Manhattan,Chinatown,1
60457,225.0,4.809973683101163,2018-11-05,Spacious Greenwich Village Apt,99212,Jessica,Entire place,10,2019-05-11,0.1,91,12.0,0.8926075879165114,40.73194,-73.99474000000002,Manhattan,Greenwich Village,1
60680,99.0,4.763497979533208,2018-12-15,The gem of the East Village,292630,Mich,Entire place,127,2019-06-20,1.22,320,152.4,0.8194609124625247,40.72654,-73.98049,Manhattan,East Village,1
61167,135.0,4.993544206918365,2015-06-08,Colorful Private One Bedroom Apt,295760,Greta,Entire place,21,2015-12-12,0.2,0,25.2,0.9007900225966702,40.71961,-73.9954,Manhattan,Little Italy,1
61492,120.0,3.8050586396967434,2018-12-18,Exclusive Room with Private Bath in  LES,297769,Tunji,Private room,171,2019-06-23,1.8,353,205.2,0.6081478726231472,40.71445,-73.9908,Manhattan,Chinatown,1
62095,65.0,3.884449483471848,2018-12-09,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Entire place,238,2019-06-14,2.3,2,285.6,0.7321227407336746,40.64446,-73.9503,Brooklyn,East Flatbush,1
62430,99.0,4.685604990898781,2018-12-17,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Entire place,111,2019-06-22,2.13,68,133.2,0.8737165798858384,40.688,-73.9171,Brooklyn,Bushwick,1
62452,36.0,3.9519408767763338,2018-12-20,A SpeciaL!! Private Room in NY,303939,Lissette,Private room,193,2019-06-25,1.85,360,231.6,0.6065915267904168,40.63536,-74.08537,Staten Island,Tompkinsville,1
63299,59.0,4.238724848188623,2018-12-18,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Scott,Private room,181,2019-06-23,1.77,15,217.2,0.7482961250441956,40.70763,-73.95177,Brooklyn,Williamsburg,1
63320,36.0,3.0438629959742465,2018-12-27,D Private Che@p Room 2 Explore NYC,303939,Lissette,Private room,333,2019-07-02,3.19,340,399.6,0.703165619856563,40.63481,-74.08519,Staten Island,Tompkinsville,1
63546,39.0,3.9644776101239314,2018-11-10,Large and Cozy Private Bedroom,308652,Antonín,Private room,45,2019-05-16,0.46,365,54.0,0.7029834746989051,40.64106,-73.97426,Brooklyn,Kensington,1
65268,75.0,4.842615116611602,2018-07-02,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,Juhli,Private room,64,2019-01-05,0.67,68,76.8,0.8309466208482115,40.68276,-73.95264,Brooklyn,Bedford-Stuyvesant,1
65834,175.0,4.18545313993853,2012-10-27,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Entire place,11,2013-05-02,0.11,246,13.2,0.7172480846051065,40.67319000000001,-73.97323,Brooklyn,Park Slope,1
66008,190.0,3.0098760508387388,2018-12-26,CHARMING CARROLL GARDENS APT.,322884,Melissa,Entire place,51,2019-07-01,0.57,288,61.2,0.6064062551374374,40.67846,-73.99443000000002,Brooklyn,Carroll Gardens,1
67299,135.0,4.310927806439574,2018-10-31,Cozy Garden Apartment  in Williamsburg,330347,Adrienne,Entire place,56,2019-05-06,0.56,42,67.2,0.6167071207710408,40.71492,-73.96282,Brooklyn,Williamsburg,1
68765,250.0,4.99484147652454,2018-12-22,Designer 2.5 BR Loft in Carroll Gardens by Subway,282655,Jenna,Entire place,106,2019-06-27,1.34,272,127.2,0.8283371129568357,40.67817,-73.99495,Brooklyn,Carroll Gardens,1
68974,575.0,3.734468934947306,2018-12-15,Unique spacious loft on the Bowery,281229,Alicia,Entire place,191,2019-06-20,1.88,298,229.2,0.7014656475643994,40.71943,-73.99627,Manhattan,Little Italy,1
70609,500.0,4.682434576382357,2018-12-11,Great Large 3 BR/2 Bath Duplex with Private Patio!,72062,Bruce,Entire place,48,2019-06-16,0.48,297,57.6,0.8489302441548464,40.72542,-73.97986,Manhattan,East Village,1
74860,55.0,4.526023667300825,2010-09-22,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,Private room,1,2011-03-28,0.01,0,1.2,0.6073394104464007,40.72488,-73.95018,Brooklyn,Greenpoint,1
80493,71.0,4.600766248247451,2018-12-29,Cozy room in East Village with AC,434987,Jennifer,Private room,182,2019-07-04,1.81,200,218.4,0.8556736433463447,40.72329000000001,-73.98486,Manhattan,East Village,1
80700,349.0,4.325147790111398,2018-11-18,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Private room,7,2019-05-24,0.07,60,8.4,0.7480501357840978,40.73738,-73.95482,Brooklyn,Greenpoint,1
80924,150.0,4.51292995537694,2018-03-22,Spacious 3 Bedroom Duplex in Park Slope,438133,Ellis,Entire place,34,2018-09-25,0.51,189,40.8,0.8307847803692328,40.67542,-73.98142,Brooklyn,Park Slope,1
81739,249.0,4.168382639566047,2010-11-06,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Private room,2,2011-05-12,0.02,60,2.4,0.6620837539690396,40.73842,-73.95312,Brooklyn,Greenpoint,1
82550,200.0,4.457997952799024,2018-12-25,Columbia Castle 2 BR,448312,Christopher,Entire place,80,2019-06-30,0.85,106,96.0,0.7775897050135963,40.69441,-73.99771,Brooklyn,Brooklyn Heights,1
82928,185.0,4.385454655530118,2018-12-27,BEAUTIFUL 2 BEDROOM APARTMENT,451545,Ruthven,Entire place,46,2019-07-02,1.07,248,55.2,0.7370280856886278,40.6824,-73.94615,Brooklyn,Bedford-Stuyvesant,1
84659,139.0,3.322819186341986,2018-12-21,Large Studio--Heart of East Village,462776,Kyle,Entire place,388,2019-06-26,3.88,142,465.6,0.6974479661762888,40.72843,-73.98895,Manhattan,East Village,1
89621,90.0,4.701421154649065,2018-12-23,"WONDERFUL, COMFORTABLE STUDIO",209460,Marylyn,Entire place,218,2019-06-28,2.26,324,261.6,0.8786935332222819,40.68048,-73.94911,Brooklyn,Bedford-Stuyvesant,1
94783,120.0,4.6122863544016734,2018-12-16,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,Keishera,Entire place,104,2019-06-21,1.04,272,124.8,0.9034282018053412,40.67174,-73.95663,Brooklyn,Crown Heights,1
95747,140.0,4.6000464619468,2016-01-13,Lovely 1BR in Tree-lined WBurg,509341,Tessa,Entire place,13,2016-07-18,0.13,0,15.6,0.9379620982632122,40.71055,-73.95098,Brooklyn,Williamsburg,1
95883,200.0,4.2249932476442815,2018-06-22,Spacious Loft in Clinton Hill,509918,Eduardo,Entire place,4,2018-12-26,0.07,9,4.8,0.6820618605592585,40.69465,-73.95458,Brooklyn,Bedford-Stuyvesant,1
98663,130.0,3.641757564622607,2017-12-06,Groovy NYC Chelsea Pad,520279,Peter Michael,Entire place,19,2018-06-11,0.19,189,22.8,0.6867370247279548,40.74893,-73.99544,Manhattan,Chelsea,1
107630,175.0,4.606692905079078,2018-12-15,Sweet Historic Greenpoint Duplex,306739,Maya,Entire place,248,2019-06-20,2.53,274,297.6,0.831837278675261,40.72911,-73.95493,Brooklyn,Greenpoint,1
110739,169.0,4.131839881539646,2018-12-28,"Very Central, Nomad/Chelsea Loft Studio",568568,Driss,Entire place,54,2019-07-03,0.57,98,64.8,0.6095523116739392,40.74503,-73.98876,Manhattan,Midtown,1
114123,199.0,3.0090417559788345,2018-11-13,Large Park Slope Townhouse Duplex,579495,Susi,Entire place,27,2019-05-19,0.28,223,32.4,0.7042024789054322,40.66527,-73.9886,Brooklyn,South Slope,1
118430,290.0,3.4515578685306485,2018-06-30,Heart of Meatpacking & Chelsea,585458,Paul,Private room,35,2019-01-03,0.36,20,42.0,0.7396607069610823,40.74412,-74.00208,Manhattan,Chelsea,1
120362,190.0,4.6691384779722735,2018-12-27,Williamsburg apartment right by the subway,138069,Itamar,Entire place,50,2019-07-02,0.51,331,60.0,0.8605025502661808,40.70665,-73.94060999999998,Brooklyn,Williamsburg,1
125053,395.0,3.012407021238664,2018-12-26,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,622460,Justin,Entire place,70,2019-07-01,0.73,170,84.0,0.7827226225363808,40.72533,-73.99143000000002,Manhattan,East Village,1
132516,97.0,4.968478749375286,2018-12-26,Forest Hills Apt minutes to midtown Manhattan,85330,Jean,Entire place,28,2019-07-01,1.21,209,33.6,0.9257485834237876,40.70925,-73.85262,Queens,Forest Hills,1
140133,249.0,3.2018268871134685,2018-12-30,Truly Amazing Oasis In The City,622866,Daniel,Entire place,150,2019-07-05,1.55,277,180.0,0.638661504678401,40.71363,-73.96019,Brooklyn,Williamsburg,1
140973,185.0,3.4432010857670288,2018-11-20,"East Village, King-Sized, Charmer",686147,Dave,Entire place,69,2019-05-26,0.71,233,82.8,0.6258145603439645,40.72274,-73.97581,Manhattan,East Village,1
141154,120.0,3.3924317689505084,2018-12-17,Affordable Furnished Apartment,686768,Mark,Entire place,232,2019-06-22,2.41,221,278.4,0.6488093456951738,40.6858,-73.9828,Brooklyn,Boerum Hill,1
141890,375.0,4.946976337575464,2013-03-28,LUXURY SOHO 2 Bedroom Apt ,689661,Allison,Entire place,18,2013-10-01,0.21,0,21.6,0.880402303225,40.72255,-73.99346,Manhattan,Nolita,1
158290,75.0,3.071099306293253,2018-11-14,Clinton Hill + Free Coffee = #smile,759583,Pepe,Private room,43,2019-05-20,0.44,365,51.6,0.6652865565124338,40.68288,-73.96024,Brooklyn,Clinton Hill,1
158955,139.0,4.956819367701269,2018-12-24,PRIVATE and SUNNY Williamsburg Apt!,465589,Amia,Entire place,385,2019-06-29,4.0,222,462.0,0.8573438420442416,40.70867,-73.94284,Brooklyn,Williamsburg,1
160994,200.0,4.865534843428787,2018-12-19,In the heart of East Village,770831,James,Entire place,103,2019-06-24,1.08,235,123.6,0.8180143295615372,40.72972,-73.97995,Manhattan,East Village,1
161366,42.0,3.615572731275844,2018-11-26,Sunny 15min to Manhattan LADY only,733894,Lucy,Private room,41,2019-06-01,0.43,246,49.2,0.7160959281339091,40.74102,-73.91681,Queens,Sunnyside,1
161394,90.0,3.112799375834996,2014-02-25,Surfer room 15mins to downtown NYC!,772300,Alain,Private room,3,2014-08-31,0.03,0,3.6,0.6517549194415043,40.71309,-73.94128,Brooklyn,Williamsburg,1
162493,450.0,4.978490645476229,2018-06-23,Prime Williamsburg 3 BR with Deck,776490,Andres,Entire place,37,2018-12-27,0.79,15,44.4,0.8149609028363043,40.71323,-73.95745,Brooklyn,Williamsburg,1
163809,198.0,4.285044754587149,2018-11-28,Cool & Spacious Harlem Artist Flat,781647,Jorin,Entire place,42,2019-06-03,0.44,234,50.4,0.6784158155849467,40.80523,-73.95139,Manhattan,Harlem,1
164989,140.0,3.590261029519489,2018-12-11,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",69439,Jade,Private room,54,2019-06-16,0.56,221,64.8,0.6901843425836004,40.72351,-73.99683,Manhattan,SoHo,1
165461,75.0,3.2720920787473133,2018-06-28,Couldn't Be Closer To Columbia Uni2,867225,Rahul,Private room,57,2019-01-01,0.59,201,68.39999999999999,0.6799128106473326,40.80525,-73.95916,Manhattan,Morningside Heights,1
166172,60.0,4.002323932662957,2019-01-01,LG Private Room/Family Friendly,792159,Wanda,Private room,480,2019-07-07,6.7,0,576.0,0.6692703628357336,40.70283,-73.92130999999998,Brooklyn,Bushwick,1
167482,185.0,3.474277785499561,2018-12-02,Charming upper west side apartment,789257,Barbara,Entire place,129,2019-06-07,1.33,14,154.79999999999995,0.6697554691674075,40.77886,-73.98042,Manhattan,Upper West Side,1
168084,190.0,4.273644914456408,2018-12-25,Light-filled East Village Delight,800982,Chris,Entire place,147,2019-06-30,1.6,27,176.4,0.6983117923514786,40.72578,-73.97879,Manhattan,East Village,1
168123,105.0,3.0906512081759847,2018-12-26,"Sunny, quiet, legal homelike suite-Pk Slope South",720558,Sara,Entire place,101,2019-07-01,1.06,167,121.2,0.7172664377608453,40.66085,-73.98536999999997,Brooklyn,South Slope,1
173072,49.0,3.32427885239393,2018-12-31,Cozy Pre-War Harlem Apartment,826192,Lewis,Shared room,168,2019-07-06,4.6,248,201.6,0.7754632925074131,40.80827,-73.95329,Manhattan,Harlem,1
174527,150.0,3.0469374045495865,2018-04-24,Cozy private family home in Bushwick,833926,Kris,Entire place,11,2018-10-28,0.46,0,13.2,0.6934152363616949,40.69055,-73.92357,Brooklyn,Bushwick,1
176135,97.0,4.205593533891458,2018-04-19,Cosy Sunny 1brm in Prospect Heights,842125,Jennifer,Entire place,31,2018-10-23,0.32,193,37.2,0.7459890099232818,40.67505,-73.95969000000002,Brooklyn,Crown Heights,1
176962,179.0,4.977937583168629,2018-10-08,Williamsburg Home Away From Home!,846309,Dani,Entire place,23,2019-04-13,0.24,25,27.6,0.9109535149284972,40.70925,-73.95425,Brooklyn,Williamsburg,1
182095,199.0,4.24854282659066,2018-10-24,Historic classic central cozy Village clean NYU,872805,Mike,Entire place,66,2019-04-29,0.69,89,79.2,0.7199315685923265,40.73631,-73.99977,Manhattan,West Village,1
182649,70.0,3.617157232002848,2018-12-13,Williamsburg bedroom by Bedford Ave,876054,Obed,Private room,227,2019-06-18,2.4,37,272.4,0.6520644401238729,40.71312,-73.96199,Brooklyn,Williamsburg,1
189787,99.0,3.413825134453042,2018-12-25,Spacious & Comfy BK Brownstone,915640,Sundiata,Entire place,90,2019-06-30,0.94,56,108.0,0.6554542185550083,40.66788,-73.94813,Brooklyn,Crown Heights,1
193393,75.0,4.257013554823532,2018-12-20,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",938056,Mike,Private room,160,2019-06-25,1.68,65,192.0,0.6459147379882031,40.74249,-73.92466,Queens,Sunnyside,1
193853,149.0,3.8642490059975465,2017-11-15,Quiet Chelsea Studio w/Charm,48599,Anastasia,Entire place,23,2018-05-21,0.27,0,27.6,0.6546059807205988,40.74033,-74.00024,Manhattan,Chelsea,1
199312,100.0,4.209628824350708,2018-12-19,Sunny Space in Williamsburg,973438,Susanne,Private room,273,2019-06-24,2.85,254,327.6,0.7128844518743008,40.71137,-73.94362,Brooklyn,Williamsburg,1
203901,190.0,3.9195866373268937,2016-03-15,Beautiful UES apartment,1000477,Elizabeth,Entire place,8,2016-09-18,0.08,0,9.6,0.7867095874160891,40.7694,-73.9572,Manhattan,Upper East Side,1
205735,41.0,3.8659699764857183,2018-10-25,"A Cozy Oasis in Bushwick, NY",1011426,Danielle,Private room,55,2019-04-30,0.59,286,66.0,0.7702759568611841,40.68364,-73.91076,Brooklyn,Bushwick,1
206071,50.0,3.466872854025151,2018-12-20,Yankee Stadium Oasis 2 stops to Manhattan!,12221,Lori,Private room,258,2019-06-25,2.7,276,309.6,0.7060322186642413,40.82802,-73.92039,Bronx,Concourse Village,1
206316,157.0,3.976155012281263,2018-02-21,"Sunny, Spacious Studio in Ft.Greene",1014639,Brett,Entire place,4,2018-08-27,0.18,0,4.8,0.6592642815555871,40.68765,-73.97073,Brooklyn,Fort Greene,1
208889,145.0,3.1404549107341726,2018-12-19,Welcome to Brooklyn! Bed-Stuy,1029021,Jameelah,Entire place,30,2019-06-24,0.32,11,36.0,0.7790789707388094,40.69025,-73.93323000000002,Brooklyn,Bedford-Stuyvesant,1
213330,200.0,3.992949903764085,2018-02-23,RARE Penthouse Oasis featured on DesignSponge,800223,Nader,Private room,25,2018-08-29,0.49,0,30.0,0.7572504534149447,40.71712,-73.98898,Manhattan,Lower East Side,1
219066,110.0,3.2690593472526563,2018-07-16,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,Entire place,24,2019-01-19,0.26,183,28.8,0.6648626947515676,40.61922,-73.99399,Brooklyn,Bensonhurst,1
220563,75.0,4.648964197104328,2016-07-02,Lovely HUGE Master Bed + Study,918087,Kestrel,Private room,59,2017-01-05,0.62,0,70.8,0.8558969749494487,40.68634,-73.95088,Brooklyn,Bedford-Stuyvesant,1
221618,75.0,4.296623807184036,2018-11-15,Gorgeous PermaGO Private Room in FiDi - 1/2,4887492,Gershwyn,Private room,82,2019-05-21,0.87,90,98.4,0.6733959922933039,40.71193,-74.00816999999998,Manhattan,Tribeca,1
222054,120.0,4.194818546322226,2018-03-12,CBG Helps Haiti Rm #3,22486,Lisel,Private room,23,2018-09-15,0.24,342,27.6,0.7529152879291809,40.68012,-73.97847,Brooklyn,Park Slope,1
222304,199.0,4.406263234027109,2018-11-02,BEST DEAL IN CHELSEA 1 bdrm NYC,1153993,Anton,Entire place,32,2019-05-08,0.34,28,38.4,0.7856957905958821,40.74233,-73.99865,Manhattan,Chelsea,1
224006,300.0,3.328541795119462,2014-06-29,Harlem/Manhattan Classic Apartment,1165231,Deirdre,Private room,6,2015-01-02,0.08,83,7.1999999999999975,0.7885706836022723,40.80307,-73.95048,Manhattan,Harlem,1
225306,79.0,3.419304610403876,2018-12-30,Charming room in Victorian home,1112560,Mary,Private room,115,2019-07-05,1.21,264,138.0,0.7794901428976617,40.68749,-73.95494000000002,Brooklyn,Bedford-Stuyvesant,1
225976,75.0,3.01162346354379,2018-12-08,Sunny cozy multileveled apartment!,1177947,Marina,Entire place,76,2019-06-13,0.8,278,91.2,0.6356949890509029,40.61077,-74.06824,Staten Island,Shore Acres,1
228317,135.0,3.939322316214844,2018-11-12,"Your Haven Awaits At ""Emma's Place""",1191142,Lady Jay,Entire place,82,2019-05-18,0.87,273,98.4,0.6176012171068496,40.68516,-73.92520999999998,Brooklyn,Bedford-Stuyvesant,1
228496,225.0,3.556909643431585,2018-11-20,"Spacious, Kid-Friendly 2 BR in West Village",1192424,Gordon,Entire place,13,2019-05-26,0.15,83,15.6,0.7726045484325113,40.73507,-74.00048000000002,Manhattan,West Village,1
228979,130.0,3.295769037569645,2018-02-08,1BDR - Hell's Kitchen Hideaway,1190088,Tim,Private room,52,2018-08-14,0.55,303,62.4,0.7823819779112337,40.76189,-73.99,Manhattan,Hell's Kitchen,1
